Release Year,IMDb Title Rating,IMDb Title Number Of Votes,Runtime (Minutes),Country Code,Season Number,Episode Number,Successful Flag
1980,6.4,5,29.0,SE,1.0,3.0,No
1980,6.4,5,30.0,SE,1.0,1.0,No
1980,6.6,5,28.0,SE,1.0,2.0,No
1980,6.6,5,28.0,SE,1.0,5.0,No
1980,6.7,6,29.0,SE,1.0,6.0,No
1980,6.8,5,29.0,SE,1.0,4.0,No
1982,,,70.0,SE,1.0,2.0,No
1982,6.6,6,69.0,SE,1.0,3.0,No
1982,7.2,6,66.0,SE,1.0,1.0,No
1990,,,55.0,SE,1.0,2.0,No
1990,,,60.0,SE,1.0,1.0,No
1991,6.3,10,13.0,SE,1.0,1.0,No
1992,,,30.0,SE,1.0,2.0,No
1992,,,55.0,SE,1.0,3.0,No
1992,,,58.0,SE,1.0,4.0,No
1992,,,58.0,SE,1.0,6.0,No
1992,,,59.0,SE,1.0,2.0,No
1992,,,59.0,SE,1.0,5.0,No
1992,5.2,6,58.0,SE,1.0,1.0,No
1995,6.5,23,48.0,SE,1.0,4.0,No
1999,6.7,20,90.0,SE,1.0,1.0,No
1999,6.7,22,90.0,SE,1.0,3.0,No
1999,7.3,13,90.0,SE,1.0,2.0,No
2007,,,15.0,SE,1.0,11.0,No
2007,,,20.0,SE,1.0,24.0,No
2008,,,45.0,SE,1.0,1.0,No
2010,3.4,6,15.0,SE,1.0,17.0,No
2010,4.0,7,15.0,SE,1.0,1.0,No
2010,5.3,8,28.0,SE,1.0,12.0,No
2010,5.4,10,28.0,SE,1.0,6.0,No
2010,5.5,12,28.0,SE,1.0,3.0,No
2010,5.5,7,28.0,SE,1.0,11.0,No
2010,5.6,8,28.0,SE,1.0,10.0,No
2010,5.7,10,28.0,SE,1.0,4.0,No
2010,5.7,12,28.0,SE,1.0,5.0,No
2010,5.7,7,28.0,SE,1.0,13.0,No
2010,5.9,11,28.0,SE,1.0,2.0,No
2010,5.9,10,28.0,SE,1.0,7.0,No
2010,6.0,14,28.0,SE,1.0,1.0,No
2010,6.0,8,28.0,SE,1.0,9.0,No
2010,6.1,10,28.0,SE,1.0,8.0,No
2010,6.6,174,90.0,SE,1.0,1.0,No
2010,6.9,160,90.0,SE,1.0,2.0,No
2010,7.1,14,58.0,SE,1.0,1.0,No
2011,5.9,32,59.0,SE,1.0,7.0,No
2011,6.1,7,15.0,SE,1.0,6.0,No
